time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-30 00:00:00+00:00,14,7,173,47
2025-12-31 00:00:00+00:00,11,6,240,51
2026-01-01 00:00:00+00:00,33,15,132,33
2026-01-02 00:00:00+00:00,8,6,126,52
2026-01-03 00:00:00+00:00,7,5,171,56
2026-01-04 00:00:00+00:00,15,6,115,45
2026-01-05 00:00:00+00:00,21,9,282,56
2026-01-06 00:00:00+00:00,29,10,244,60
2026-01-07 00:00:00+00:00,20,6,252,45
2026-01-08 00:00:00+00:00,13,8,201,56
2026-01-09 00:00:00+00:00,6,4,175,47
2026-01-10 00:00:00+00:00,9,5,197,58
2026-01-11 00:00:00+00:00,9,5,225,58
2026-01-12 00:00:00+00:00,10,6,108,45
