time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,16,5,24,13
2026-09-03 00:00:00+00:00,16,8,16,9
2026-09-04 00:00:00+00:00,11,7,46,13
2026-09-05 00:00:00+00:00,11,3,15,10
2026-09-06 00:00:00+00:00,4,4,15,11
2026-09-07 00:00:00+00:00,1,1,22,11
2026-09-08 00:00:00+00:00,9,4,27,16
2026-09-09 00:00:00+00:00,6,6,35,11
2026-09-10 00:00:00+00:00,6,6,33,13
2026-09-11 00:00:00+00:00,6,5,13,7
2026-09-12 00:00:00+00:00,6,5,9,5
2026-09-13 00:00:00+00:00,3,3,17,7
2026-09-14 00:00:00+00:00,4,4,47,13
2026-09-15 00:00:00+00:00,10,7,70,14
