time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-01 00:00:00+00:00,34.0,17.0,65,22
2025-09-02 00:00:00+00:00,15.0,6.0,89,28
2025-09-03 00:00:00+00:00,8.0,6.0,77,25
2025-09-04 00:00:00+00:00,4.0,4.0,44,22
2025-09-05 00:00:00+00:00,8.0,4.0,102,22
2025-09-06 00:00:00+00:00,6.0,6.0,69,15
2025-09-07 00:00:00+00:00,5.0,5.0,49,20
2025-09-08 00:00:00+00:00,5.0,4.0,44,22
2025-09-09 00:00:00+00:00,9.0,6.0,65,22
2025-09-10 00:00:00+00:00,5.0,5.0,33,19
2025-09-11 00:00:00+00:00,8.0,8.0,61,23
2025-09-12 00:00:00+00:00,13.0,11.0,78,20
2025-09-13 00:00:00+00:00,3.0,3.0,64,23
2025-09-14 00:00:00+00:00,,,90,26
