time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-25 00:00:00+00:00,16.0,14.0,81,20
2025-09-26 00:00:00+00:00,24.0,16.0,57,22
2025-09-27 00:00:00+00:00,3.0,3.0,53,17
2025-09-28 00:00:00+00:00,5.0,4.0,29,12
2025-09-29 00:00:00+00:00,17.0,12.0,78,20
2025-09-30 00:00:00+00:00,25.0,19.0,57,22
2025-10-01 00:00:00+00:00,29.0,13.0,49,28
2025-10-02 00:00:00+00:00,9.0,8.0,76,27
2025-10-03 00:00:00+00:00,11.0,7.0,44,25
2025-10-04 00:00:00+00:00,5.0,5.0,83,28
2025-10-05 00:00:00+00:00,6.0,6.0,62,19
2025-10-06 00:00:00+00:00,4.0,4.0,45,20
2025-10-07 00:00:00+00:00,3.0,3.0,44,19
2025-10-08 00:00:00+00:00,,,53,15
