referrer,views_total,views_unique
Google,101,20
github.com,101,16
privacysandbox.google.com,62,12
confluence.sec.samsung.net,16,2
topics-fetch-demo.glitch.me,14,2
support.google.com,11,4
com.google.android.gm,7,3
Bing,5,3
criteo.atlassian.net,3,2
taskflow.corp.google.com,2,1
