time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,8,8,96,48
2026-01-21 00:00:00+00:00,25,11,121,48
2026-01-22 00:00:00+00:00,14,8,153,59
2026-01-23 00:00:00+00:00,16,6,335,57
2026-01-24 00:00:00+00:00,15,6,306,56
2026-01-25 00:00:00+00:00,14,5,119,42
2026-01-26 00:00:00+00:00,14,9,181,56
2026-01-27 00:00:00+00:00,6,6,129,48
2026-01-28 00:00:00+00:00,14,6,139,56
2026-01-29 00:00:00+00:00,12,7,113,51
2026-01-30 00:00:00+00:00,18,8,195,51
2026-01-31 00:00:00+00:00,9,4,127,52
2026-02-01 00:00:00+00:00,30,13,140,42
2026-02-02 00:00:00+00:00,10,6,114,51
