time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-30 00:00:00+00:00,49.0,13.0,204,22
2025-05-01 00:00:00+00:00,21.0,7.0,130,21
2025-05-02 00:00:00+00:00,12.0,6.0,107,25
2025-05-03 00:00:00+00:00,5.0,5.0,95,23
2025-05-04 00:00:00+00:00,6.0,3.0,54,15
2025-05-05 00:00:00+00:00,2.0,2.0,64,21
2025-05-06 00:00:00+00:00,2.0,2.0,57,21
2025-05-07 00:00:00+00:00,7.0,3.0,39,21
2025-05-08 00:00:00+00:00,3.0,3.0,175,25
2025-05-09 00:00:00+00:00,14.0,7.0,58,23
2025-05-10 00:00:00+00:00,4.0,4.0,30,14
2025-05-11 00:00:00+00:00,7.0,5.0,34,14
2025-05-12 00:00:00+00:00,5.0,3.0,72,24
2025-05-13 00:00:00+00:00,,,38,17
