time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,21,6,27,12
2026-07-19 00:00:00+00:00,4,3,72,12
2026-07-20 00:00:00+00:00,30,14,16,9
2026-07-21 00:00:00+00:00,29,14,11,3
2026-07-22 00:00:00+00:00,16,11,13,10
2026-07-23 00:00:00+00:00,19,10,28,11
2026-07-24 00:00:00+00:00,3,3,27,12
2026-07-25 00:00:00+00:00,12,7,14,8
2026-07-26 00:00:00+00:00,47,11,52,17
2026-07-27 00:00:00+00:00,21,11,26,11
2026-07-28 00:00:00+00:00,17,12,10,7
2026-07-29 00:00:00+00:00,24,15,13,8
2026-07-30 00:00:00+00:00,12,6,16,12
2026-07-31 00:00:00+00:00,8,3,46,11
