referrer,views_total,views_unique
Google,114,15
github.com,52,15
privacysandbox.google.com,28,16
topics-fetch-demo.glitch.me,14,2
support.google.com,8,3
com.google.android.gm,4,1
taskflow.corp.google.com,2,1
alohafind.com,2,1
Bing,2,1
glitch.com,1,1
