time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-15 00:00:00+00:00,8,4,134,48
2026-01-16 00:00:00+00:00,13,6,207,56
2026-01-17 00:00:00+00:00,9,7,149,50
2026-01-18 00:00:00+00:00,11,7,120,53
2026-01-19 00:00:00+00:00,17,7,173,51
2026-01-20 00:00:00+00:00,8,8,96,48
2026-01-21 00:00:00+00:00,25,11,121,48
2026-01-22 00:00:00+00:00,14,8,153,59
2026-01-23 00:00:00+00:00,16,6,335,57
2026-01-24 00:00:00+00:00,15,6,306,56
2026-01-25 00:00:00+00:00,14,5,119,42
2026-01-26 00:00:00+00:00,14,9,181,56
2026-01-27 00:00:00+00:00,6,6,129,48
2026-01-28 00:00:00+00:00,14,6,139,56
