referrer,views_total,views_unique
github.com,72,13
privacysandbox.google.com,61,13
Google,29,11
support.google.com,5,4
glitch.com,3,1
Yahoo,2,1
chatgpt.com,1,1
topics-fetch-demo.glitch.me,1,1
