time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-13 00:00:00+00:00,18.0,8.0,92,21
2025-02-14 00:00:00+00:00,8.0,3.0,108,25
2025-02-15 00:00:00+00:00,1.0,1.0,29,11
2025-02-16 00:00:00+00:00,1.0,1.0,16,8
2025-02-17 00:00:00+00:00,15.0,7.0,112,12
2025-02-18 00:00:00+00:00,,,123,28
2025-02-19 00:00:00+00:00,5.0,3.0,120,16
2025-02-20 00:00:00+00:00,20.0,10.0,195,32
2025-02-21 00:00:00+00:00,81.0,26.0,218,19
2025-02-22 00:00:00+00:00,4.0,4.0,8,7
2025-02-23 00:00:00+00:00,2.0,2.0,37,5
2025-02-24 00:00:00+00:00,5.0,4.0,44,15
2025-02-25 00:00:00+00:00,5.0,3.0,219,53
2025-02-26 00:00:00+00:00,30.0,15.0,196,42
