referrer,views_total,views_unique
Google,87,14
privacysandbox.google.com,56,10
github.com,28,7
github-com.translate.goog,8,1
support.google.com,5,1
docs.google.com,4,2
web.dev,2,1
privacy-sandbox-demos.dev,1,1
