time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-26 00:00:00+00:00,94.0,20.0,348,34
2025-06-27 00:00:00+00:00,35.0,14.0,96,22
2025-06-28 00:00:00+00:00,10.0,3.0,28,15
2025-06-29 00:00:00+00:00,12.0,6.0,32,13
2025-06-30 00:00:00+00:00,12.0,4.0,52,20
2025-07-01 00:00:00+00:00,32.0,15.0,99,25
2025-07-02 00:00:00+00:00,34.0,15.0,88,26
2025-07-03 00:00:00+00:00,17.0,8.0,56,20
2025-07-04 00:00:00+00:00,24.0,13.0,145,31
2025-07-05 00:00:00+00:00,21.0,6.0,38,18
2025-07-06 00:00:00+00:00,15.0,7.0,41,18
2025-07-07 00:00:00+00:00,15.0,6.0,88,27
2025-07-08 00:00:00+00:00,12.0,6.0,68,16
2025-07-09 00:00:00+00:00,,,49,18
