time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-13 00:00:00+00:00,22,8,100,43
2025-12-14 00:00:00+00:00,8,4,80,44
2025-12-15 00:00:00+00:00,3,3,136,49
2025-12-16 00:00:00+00:00,5,5,103,47
2025-12-17 00:00:00+00:00,3,3,151,59
2025-12-18 00:00:00+00:00,4,4,169,57
2025-12-19 00:00:00+00:00,13,7,137,48
2025-12-20 00:00:00+00:00,13,9,145,60
2025-12-21 00:00:00+00:00,5,5,101,47
2025-12-22 00:00:00+00:00,9,5,101,46
2025-12-23 00:00:00+00:00,11,6,140,57
2025-12-24 00:00:00+00:00,15,5,163,65
2025-12-25 00:00:00+00:00,12,6,195,51
2025-12-26 00:00:00+00:00,4,2,183,60
