referrer,views_total,views_unique
github.com,71,10
privacysandbox.google.com,61,12
Google,32,14
glitch.com,4,2
support.google.com,2,1
Yahoo,2,1
chatgpt.com,1,1
g3doc.corp.google.com,1,1
