referrer,views_total,views_unique
github.com,185,14
Google,86,13
privacysandbox.google.com,24,8
mail.google.com,5,1
support.google.com,4,1
privacy-sandbox-demos.dev,1,1
glitch.com,1,1
com.google.android.gm,1,1
