referrer,views_total,views_unique
Google,92,10
privacysandbox.google.com,59,19
github.com,28,13
privacy-sandbox-demos.dev,2,2
support.google.com,2,1
delaware-playground.corp.google.com,1,1
glitch.com,1,1
criteo.atlassian.net,1,1
topics-fetch-demo.glitch.me,1,1
