time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-07 00:00:00+00:00,9,8,136,26
2025-11-08 00:00:00+00:00,17,11,57,12
2025-11-09 00:00:00+00:00,3,3,69,19
2025-11-10 00:00:00+00:00,26,10,114,18
2025-11-11 00:00:00+00:00,9,8,61,36
2025-11-12 00:00:00+00:00,27,11,64,16
2025-11-13 00:00:00+00:00,15,8,73,23
2025-11-14 00:00:00+00:00,9,8,38,15
2025-11-15 00:00:00+00:00,6,6,67,17
2025-11-16 00:00:00+00:00,5,5,47,19
2025-11-17 00:00:00+00:00,9,7,24,12
2025-11-18 00:00:00+00:00,10,8,49,24
2025-11-19 00:00:00+00:00,7,6,137,12
2025-11-20 00:00:00+00:00,9,6,54,15
