time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-08 00:00:00+00:00,3,3,175,25
2025-05-09 00:00:00+00:00,14,7,58,23
2025-05-10 00:00:00+00:00,4,4,30,14
2025-05-11 00:00:00+00:00,7,5,34,14
2025-05-12 00:00:00+00:00,5,3,72,24
2025-05-13 00:00:00+00:00,2,2,39,18
2025-05-14 00:00:00+00:00,63,25,157,20
2025-05-15 00:00:00+00:00,23,15,185,31
2025-05-16 00:00:00+00:00,12,6,81,19
2025-05-17 00:00:00+00:00,9,6,59,15
2025-05-18 00:00:00+00:00,4,3,59,11
2025-05-19 00:00:00+00:00,6,3,46,18
2025-05-20 00:00:00+00:00,8,5,84,24
2025-05-21 00:00:00+00:00,9,7,136,33
