referrer,views_total,views_unique
Google,107,12
github.com,41,11
privacysandbox.google.com,35,18
topics-fetch-demo.glitch.me,7,1
privacy-sandbox-demos.dev,2,2
taskflow.corp.google.com,2,1
alohafind.com,2,1
delaware-playground.corp.google.com,1,1
glitch.com,1,1
confluence.sec.samsung.net,1,1
