referrer,views_total,views_unique
privacysandbox.google.com,64,11
Google,40,11
github.com,24,6
github-com.translate.goog,8,1
support.google.com,5,1
web.dev,2,1
privacy-sandbox-demos.dev,1,1
chatgpt.com,1,1
