referrer,views_total,views_unique
Google,96,15
github.com,26,6
privacysandbox.google.com,25,10
github-com.translate.goog,10,2
support.google.com,6,2
docs.google.com,4,2
web.dev,2,1
privacy-sandbox-demos.dev,1,1
