time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-15 00:00:00+00:00,6.0,6.0,67,17
2025-11-16 00:00:00+00:00,5.0,5.0,47,19
2025-11-17 00:00:00+00:00,9.0,7.0,24,12
2025-11-18 00:00:00+00:00,10.0,8.0,49,24
2025-11-19 00:00:00+00:00,7.0,6.0,137,12
2025-11-20 00:00:00+00:00,13.0,10.0,54,15
2025-11-21 00:00:00+00:00,13.0,11.0,38,18
2025-11-22 00:00:00+00:00,9.0,8.0,82,22
2025-11-23 00:00:00+00:00,3.0,3.0,57,15
2025-11-24 00:00:00+00:00,5.0,5.0,56,17
2025-11-25 00:00:00+00:00,4.0,4.0,86,15
2025-11-26 00:00:00+00:00,22.0,20.0,47,12
2025-11-27 00:00:00+00:00,9.0,8.0,38,16
2025-11-28 00:00:00+00:00,,,28,12
