time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-21 00:00:00+00:00,22,9,157,65
2026-02-22 00:00:00+00:00,22,8,117,49
2026-02-23 00:00:00+00:00,11,7,177,55
2026-02-24 00:00:00+00:00,16,8,121,47
2026-02-25 00:00:00+00:00,7,3,304,59
2026-02-26 00:00:00+00:00,3,3,114,46
2026-02-27 00:00:00+00:00,15,8,164,54
2026-02-28 00:00:00+00:00,12,7,169,59
2026-03-01 00:00:00+00:00,5,5,98,39
2026-03-02 00:00:00+00:00,10,6,106,51
2026-03-03 00:00:00+00:00,9,5,141,54
2026-03-04 00:00:00+00:00,7,3,183,61
2026-03-05 00:00:00+00:00,195,7,137,48
2026-03-06 00:00:00+00:00,13,6,159,60
