referrer,views_total,views_unique
Google,128,33
github.com,128,21
privacysandbox.google.com,33,9
support.google.com,7,3
linkedin.com,6,1
docs.google.com,5,3
com.google.android.gm,3,2
DuckDuckGo,2,2
confluence.sec.samsung.net,2,1
search.brave.com,2,1
