time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,20,10,29,16
2026-04-10 00:00:00+00:00,41,21,60,18
2026-04-11 00:00:00+00:00,5,5,39,13
2026-04-12 00:00:00+00:00,15,10,52,16
2026-04-13 00:00:00+00:00,24,11,14,10
2026-04-14 00:00:00+00:00,12,8,101,15
2026-04-15 00:00:00+00:00,30,17,64,13
2026-04-16 00:00:00+00:00,45,20,41,13
2026-04-17 00:00:00+00:00,41,14,15,9
2026-04-18 00:00:00+00:00,26,10,36,10
2026-04-19 00:00:00+00:00,24,13,26,12
2026-04-20 00:00:00+00:00,70,30,67,15
2026-04-21 00:00:00+00:00,152,25,34,15
2026-04-22 00:00:00+00:00,93,33,41,11
