time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-22 00:00:00+00:00,18,8,59,20
2025-07-23 00:00:00+00:00,34,9,73,20
2025-07-24 00:00:00+00:00,23,9,106,26
2025-07-25 00:00:00+00:00,21,10,57,16
2025-07-26 00:00:00+00:00,15,9,98,23
2025-07-27 00:00:00+00:00,12,5,56,21
2025-07-28 00:00:00+00:00,10,3,62,20
2025-07-29 00:00:00+00:00,17,8,69,15
2025-07-30 00:00:00+00:00,15,8,56,19
2025-07-31 00:00:00+00:00,10,3,62,21
2025-08-01 00:00:00+00:00,25,6,35,13
2025-08-02 00:00:00+00:00,13,7,46,18
2025-08-03 00:00:00+00:00,12,4,101,24
2025-08-04 00:00:00+00:00,8,7,28,17
