referrer,views_total,views_unique
Google,111,30
github.com,91,19
privacysandbox.google.com,69,11
confluence.sec.samsung.net,17,1
support.google.com,9,3
linkedin.com,6,1
docs.google.com,5,3
criteo.atlassian.net,3,2
Bing,3,2
com.google.android.gm,3,2
