referrer,views_total,views_unique
Google,141,37
github.com,111,18
privacysandbox.google.com,28,10
support.google.com,7,3
linkedin.com,6,1
docs.google.com,4,3
DuckDuckGo,2,2
confluence.sec.samsung.net,2,1
glitch.com,2,1
search.brave.com,2,1
