time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-18 00:00:00+00:00,15,6,183,51
2026-03-19 00:00:00+00:00,12,4,156,50
2026-03-20 00:00:00+00:00,12,6,182,63
2026-03-21 00:00:00+00:00,13,7,170,53
2026-03-22 00:00:00+00:00,8,6,248,68
2026-03-23 00:00:00+00:00,6,6,55,28
2026-03-24 00:00:00+00:00,2,2,96,46
2026-03-25 00:00:00+00:00,21,11,147,46
2026-03-26 00:00:00+00:00,19,10,258,64
2026-03-27 00:00:00+00:00,32,11,211,52
2026-03-28 00:00:00+00:00,11,8,209,51
2026-03-29 00:00:00+00:00,11,8,192,49
2026-03-30 00:00:00+00:00,388,18,146,49
2026-03-31 00:00:00+00:00,15,7,122,49
