referrer,views_total,views_unique
Google,127,26
github.com,79,17
developers.google.com,18,4
support.google.com,7,1
g3doc.corp.google.com,5,1
privacy-sandbox-demos.dev,2,2
facebook.com,2,2
chat.google.com,2,1
glitch.com,2,1
com.google.android.gm,1,1
