referrer,views_total,views_unique
github.com,92,10
privacysandbox.google.com,62,13
Google,29,15
Yahoo,2,1
support.google.com,2,1
glitch.com,1,1
g3doc.corp.google.com,1,1
chatgpt.com,1,1
