referrer,views_total,views_unique
github.com,64,13
privacysandbox.google.com,55,18
Google,27,10
support.google.com,7,5
glitch.com,3,1
mail.google.com,3,1
chatgpt.com,1,1
topics-fetch-demo.glitch.me,1,1
