time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-10 00:00:00+00:00,66,26,58,15
2026-07-11 00:00:00+00:00,39,14,66,16
2026-07-12 00:00:00+00:00,16,10,44,14
2026-07-13 00:00:00+00:00,14,8,23,11
2026-07-14 00:00:00+00:00,10,7,30,11
2026-07-15 00:00:00+00:00,47,19,32,15
2026-07-16 00:00:00+00:00,16,6,32,14
2026-07-17 00:00:00+00:00,15,10,24,12
2026-07-18 00:00:00+00:00,21,6,27,12
2026-07-19 00:00:00+00:00,4,3,72,12
2026-07-20 00:00:00+00:00,30,14,16,9
2026-07-21 00:00:00+00:00,29,14,11,3
2026-07-22 00:00:00+00:00,16,11,13,10
2026-07-23 00:00:00+00:00,19,10,28,11
