time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,10,7,39,22
2025-10-17 00:00:00+00:00,34,15,32,19
2025-10-18 00:00:00+00:00,17,10,33,19
2025-10-19 00:00:00+00:00,12,6,62,23
2025-10-20 00:00:00+00:00,15,10,52,15
2025-10-21 00:00:00+00:00,26,12,43,19
2025-10-22 00:00:00+00:00,34,16,73,17
2025-10-23 00:00:00+00:00,29,17,76,17
2025-10-24 00:00:00+00:00,38,21,50,20
2025-10-25 00:00:00+00:00,15,10,83,26
2025-10-26 00:00:00+00:00,11,10,147,28
2025-10-27 00:00:00+00:00,23,12,26,17
2025-10-28 00:00:00+00:00,97,32,251,34
2025-10-29 00:00:00+00:00,64,31,69,18
